1	inhumanely
1	gunned down
0	is determined
1	comprehensively blamed
1	slandering
1	emphatically condemned in the strongest terms
0	wants
1	the lack of respect for the human person
1	was an act of war
1	nothing but a mere public relations tool
1	cataclysmic consequences
0	proudly announced
1	vulnerable
0	gradually promoted
0	better served
0	asked
0	exists within millions of palestinians
1	war maniacs
1	helped argentina dig itself into a deeper hole
1	repeated its allegations
1	the explanation is , in fact is deceiving
0	was hoping
1	a row
1	the charges were not just fabricated
1	long dominated
1	protest
1	strong objections
1	nonexistence
1	unashamedly seen fit
1	contrary to all reason
1	claiming
0	ended successfully
0	widened
0	hoped
1	does not want
1	to dismiss
0	recommendations
0	conciliatory speech
1	do - it - our - way
1	little to offer
1	discrediting
1	criticism
1	stance
1	is supposed to guarantee
1	targeted killing
0	the support of
0	had accepted
0	profess relief
0	purpose
0	just want
1	overshadow
1	firm opposition
1	evil country
1	casting dark clouds
0	defend
1	is now intolerable for the dignity
1	deterioration
1	grudgingly
1	merely a gesture
1	the model to follow
1	a former army coup - meister himself
1	misguided
1	even sent letters of protest
0	renew our support
1	condemnation
1	have their human rights ruthlessly trampled upon
1	any reckless action
1	totally disagree
1	his axis of evil remark
1	can not accept
1	his career was like a rough sea , with highs and lows and never calm
1	do n't support
1	could no longer tolerate
1	absurd
1	raised the pitch
0	hope
1	marred by state - sponsored violence
1	are concerned
1	not knowing the meaning
1	disapproval
0	pledged
1	have also moved to contest
1	clashed violently
0	recognition
1	have made clear their stand against
1	unable to move
1	provoked
1	may be seeking to cause damage
0	wish
1	solitary road
1	swapping the silver - visored helmet of a space cadet for the green eyeshade of a consummate bean counter
0	most realistic
1	classic gas - guzzler
1	attacks
1	was shocked
1	the rhetoric of good and evil is not suitable
1	undermine
0	even in the midst of tragedy , specially in the midst of tragedy , god is there
1	these leaks had put his life in danger
0	somewhat softens its tone
1	the fabric of compassion tore
1	aimed at crushing
0	want
1	try to destroy
1	not responsible
1	alienate
1	taking away from
0	comfortably
1	taking action against
1	slow
0	endorsed
1	reckless
1	negative position
1	threats expressed by
1	however
1	were protesting
0	gives the saudi government its due
1	suspicions
1	illegitimate
1	would not support
1	to be used as a bargaining chip
1	guilty of using excessive force
1	compounded the problem
1	a blatant case of discrimination in rights
0	advantage
1	discourage
1	they are a bit of a tangle
0	sought
1	thwarted
1	not that of journalists
0	but also
0	fully supports
1	the threats launched
0	continue to encourage
1	delivered a more devastating blow
1	to express openly dissenting political and religious views
1	joining the west in criticizing
1	irresponsible
1	harmful
1	arbitrarily
1	the black hole of mazar - isharif
0	full support
1	rocket
1	whether the global ban on torture can be abused on that account is another matter
0	called for
1	as servants to white interests and western powers
0	well
1	prodded
1	quite the contrary
1	dislike
1	rank as the understatement of the year
1	ostracising
0	restoring legitimacy
1	accused
0	feeling
1	is at stake
1	seething
0	confidence
1	concluded
1	fears
1	accusations
1	shadow of this noise
0	peaceful
1	denounced
1	resorting
1	yet another burden
1	bothered
1	too many restrictions
1	does not wish
0	most audacious
1	systematically subverted democracy
1	grave concern
1	plotting
1	breathless armchair hyperbole
0	urged
1	absurd
0	stated repeatedly
1	people arrested on the battlefield
0	was hopeful
1	keep a distance from america
1	no more
1	warm peace , not a cold peace
1	get away with bad policymaking
1	warned
1	punish
1	rejects
0	support
1	at turns passive and inflexible
0	brilliant , full of strength and eloquence
0	hopes
1	but because of its own national interests
1	wanted
0	opts
1	pick up some tube time
1	miscalculate
0	is considered
1	derived nothing but encouragement
1	lecturing
1	found little to object to
0	appeals
1	frighten
1	will not allow
1	the world 's most dangerous regimes
1	more serious
0	put an end to sensitivities , hatred , and injustice
1	already over - taxed economy
1	depriving them of their rights
0	humane
1	presidential folly that will sully the name of the armed forces
0	justice must be done
1	the criminals
1	forbids
1	dangerous situation
1	nothing would come of a meeting
1	aggressive ambitions
0	great israeli empire
0	m feeling much better
0	free and fair
1	how frequently
1	only
0	supported
0	its chance
1	could support
1	but those were the us needs
1	terrorizing
1	would be a disaster
0	is optimistic
0	intentions
1	opposition to
0	wish
1	based on its terms
1	has already warned
1	if i do not save them , i do not save myself
1	complaint
1	thugs and fraud
1	long way to go
1	this distortion in its policies
0	broad political consensus
1	communal flames
1	suggests a return to the old days
0	want
1	the warning
1	deformed
1	anti - terror
0	a view
1	warned
1	accused
0	upheld
1	accused
1	none of the whistle - blowers seems to give a damn
1	reckless military oppressive attempt
1	none of them
1	is floundering
1	can not
0	are being well treated
0	recognize
0	endorsed
0	aspire
1	axis of evil
1	resistance against
0	press ahead
1	still - tense relationship
1	resorting to verbal quibbling
1	blaming
1	frighten tourists and investors away
0	will now tend to support
1	fell short
0	cooperation
0	fundamental freedoms
1	was only intended to fan up war hysteria
1	criticizes
1	has accused
0	expressed active support
0	congratulates
1	so - called
1	at the expense of the world 's security and stability
0	wants
1	advanced
1	inefficient argentine automakers
1	big brother
1	no longer any more of a problem for europe than the lack of development
1	hallucination
1	accused of
1	axis of evil
0	determination
1	axis of evil
1	greenpeace is here to voice the concerns of millions of people
0	please
